query,labels,predicted_labels
What will be the demand for face creams during festive season and what are top Nykaa sellers?,"['Forecasting', 'FAQs']","['Forecasting', 'MarketWatcher']"
Compare competitor pricing for face wash and predict its demand next month.,"['MarketWatcher', 'Forecasting']","['Forecasting', 'MarketWatcher']"
Compare competitor pricing for face wash and predict its demand next month.,"['MarketWatcher', 'Forecasting']","['Forecasting', 'MarketWatcher']"
How much stock is needed for eyeliners and what is the return policy if unsold?,"['Forecasting', 'FAQs']","['Forecasting', 'FAQs']"
What will be the demand for face creams during festive season and what are top Nykaa sellers?,"['Forecasting', 'FAQs']","['Forecasting', 'MarketWatcher']"
How much shampoo should be stocked for winter and what are user reviews?,"['Forecasting', 'FAQs']","['Forecasting', 'FAQs']"
Predict demand for lip balm and explain Nykaa's return policy for skincare.,"['Forecasting', 'FAQs']","['Forecasting', 'FAQs']"
Compare competitor pricing for face wash and predict its demand next month.,"['MarketWatcher', 'Forecasting']","['Forecasting', 'MarketWatcher']"
List best-selling moisturizers and compare them with Plum products.,"['MarketWatcher', 'FAQs']",['MarketWatcher']
Predict demand for lip balm and explain Nykaa's return policy for skincare.,"['Forecasting', 'FAQs']","['Forecasting', 'FAQs']"
How much stock is needed for eyeliners and what is the return policy if unsold?,"['Forecasting', 'FAQs']","['Forecasting', 'FAQs']"
List best-selling moisturizers and compare them with Plum products.,"['MarketWatcher', 'FAQs']",['MarketWatcher']
How much shampoo should be stocked for winter and what are user reviews?,"['Forecasting', 'FAQs']","['FAQs', 'Forecasting']"
Is there a loyalty program and how do Nykaa prices compare with Mamaearth?,"['MarketWatcher', 'FAQs']","['FAQs', 'MarketWatcher']"
What will be the demand for face creams during festive season and what are top Nykaa sellers?,"['Forecasting', 'FAQs']","['Forecasting', 'MarketWatcher']"
What will be the demand for face creams during festive season and what are top Nykaa sellers?,"['Forecasting', 'FAQs']","['Forecasting', 'MarketWatcher']"
Forecast sunscreen sales in Delhi and tell me about trending SPF products.,"['MarketWatcher', 'Forecasting']","['MarketWatcher', 'Forecasting']"
Is there a loyalty program and how do Nykaa prices compare with Mamaearth?,"['MarketWatcher', 'FAQs']","['FAQs', 'MarketWatcher']"
How much stock is needed for eyeliners and what is the return policy if unsold?,"['Forecasting', 'FAQs']","['FAQs', 'Forecasting']"
What are Nykaa’s best lipsticks and how do they compare to Sugar Cosmetics?,"['MarketWatcher', 'FAQs']","['MarketWatcher', 'FAQs']"
What are trending skincare items and will their demand increase in summer?,"['MarketWatcher', 'Forecasting']","['Forecasting', 'MarketWatcher']"
Predict demand for lip balm and explain Nykaa's return policy for skincare.,"['Forecasting', 'FAQs']","['Forecasting', 'FAQs']"
What will be the demand for face creams during festive season and what are top Nykaa sellers?,"['Forecasting', 'FAQs']","['Forecasting', 'MarketWatcher']"
List best-selling moisturizers and compare them with Plum products.,"['MarketWatcher', 'FAQs']",['MarketWatcher']
